loan_id,customer_id,loan_type,principal_idr,interest_rate_annual,tenure_months,disbursement_date,monthly_installment_idr,outstanding_idr,status,due_date,last_payment_date
LON0001,NBC0561,personal,39614428,0.1728,24,2022-09-26,1963961,29207086,active,2024-09-27,2024-08-03
LON0002,NBC0069,modal_usaha,110513682,0.2262,48,2023-12-22,3519157,57327480,active,2027-12-25,2024-08-10
LON0003,NBC0394,personal,17826515,0.1497,12,2023-06-30,1608739,10139286,active,2024-06-30,2024-10-14
LON0004,NBC0070,kredit_barang,22401958,0.2134,6,2023-10-28,3969462,20204060,active,2024-04-28,2024-03-05
LON0005,NBC0056,personal,7061228,0.2133,12,2022-04-05,658616,0,paid_off,2023-04-06,2022-11-09
LON0006,NBC0062,kredit_barang,19447412,0.1571,12,2022-12-15,1761813,0,paid_off,2023-12-16,2023-08-12
LON0007,NBC0706,modal_usaha,27565823,0.2241,24,2022-06-02,1435651,0,paid_off,2024-06-03,2024-03-04
LON0008,NBC0864,personal,19842925,0.1864,6,2022-03-16,3489262,8651866,active,2022-09-15,2023-04-11
LON0009,NBC0528,personal,23693293,0.1768,6,2022-11-29,4154994,17442750,written_off,2023-05-31,
LON0010,NBC0522,personal,8295653,0.2041,36,2022-07-11,310032,0,paid_off,2025-07-13,2024-01-29
LON0011,NBC0195,modal_usaha,101263226,0.2262,24,2024-02-19,5284405,93907429,active,2026-02-20,2024-12-12
LON0012,NBC0102,modal_usaha,172508772,0.1573,6,2023-09-09,30084869,93286148,overdue,2024-03-10,2023-12-19
LON0013,NBC0381,modal_usaha,169611175,0.21,6,2022-08-25,30025004,0,paid_off,2023-02-24,2022-09-26
LON0014,NBC0675,personal,31576357,0.1987,36,2023-03-07,1171400,0,paid_off,2026-03-09,2024-07-25
LON0015,NBC0483,personal,43053473,0.2108,6,2022-06-27,7623158,38378494,active,2022-12-27,2024-11-27
LON0016,NBC0831,personal,33149137,0.1765,48,2023-09-05,967704,0,paid_off,2027-09-08,2024-03-09
LON0017,NBC0490,modal_usaha,191822959,0.2232,48,2023-04-29,6076963,157555349,written_off,2027-05-02,
LON0018,NBC0109,personal,10353657,0.2388,6,2023-06-22,1847771,0,paid_off,2023-12-22,2023-11-17
LON0019,NBC0415,modal_usaha,130844733,0.1665,48,2023-03-23,3751879,108858441,active,2027-03-26,2024-04-03
LON0020,NBC0619,personal,49884426,0.2269,48,2023-02-12,1590409,25425206,active,2027-02-15,2024-11-26
LON0021,NBC0578,kredit_barang,22309372,0.1824,6,2023-06-12,3918525,0,paid_off,2023-12-12,2023-08-05
LON0022,NBC0552,kredit_barang,13072231,0.2374,48,2023-12-23,424302,10230055,active,2027-12-26,2024-04-21
LON0023,NBC0627,personal,30689136,0.2192,12,2022-10-26,2871149,12557441,overdue,2023-10-27,2023-07-15
LON0024,NBC0514,modal_usaha,94149800,0.1907,6,2022-02-21,16575881,0,paid_off,2022-08-23,2022-08-21
LON0025,NBC0553,kredit_barang,25953953,0.2237,48,2022-07-31,822930,19938181,written_off,2026-08-03,
LON0026,NBC0367,personal,36851771,0.179,24,2022-11-27,1838011,0,paid_off,2024-11-28,2024-03-25
LON0027,NBC0911,kredit_barang,21389305,0.1943,12,2023-11-14,1975557,13357182,active,2024-11-14,2024-11-22
LON0028,NBC0340,personal,31208081,0.238,48,2022-08-18,1013993,24788102,active,2026-08-21,2022-10-07
LON0029,NBC0488,personal,49541013,0.2063,12,2022-08-16,4604158,23243140,active,2023-08-17,2023-03-10
LON0030,NBC0079,modal_usaha,163724042,0.1964,6,2024-03-21,28871593,40261788,active,2024-09-20,2025-02-04
LON0031,NBC0914,modal_usaha,31885760,0.1951,36,2023-10-27,1177043,27045489,active,2026-10-29,2024-11-02
LON0032,NBC0111,modal_usaha,67726320,0.1449,36,2022-07-27,2330876,49033428,active,2025-07-29,2024-08-27
LON0033,NBC0051,kredit_barang,21403616,0.2023,48,2024-01-24,653946,7983921,active,2028-01-27,2025-01-20
LON0034,NBC0422,personal,39833210,0.141,36,2024-05-12,1363340,16085246,active,2027-05-15,2024-07-13
LON0035,NBC0462,modal_usaha,59819971,0.1796,48,2024-01-10,1755962,40416313,active,2028-01-13,2025-01-29
LON0036,NBC0616,personal,26380950,0.199,24,2023-08-26,1341391,8792088,active,2025-08-27,2024-08-31
LON0037,NBC0638,kredit_barang,23221368,0.1394,6,2022-07-10,4029099,13226629,active,2023-01-09,2022-08-17
LON0038,NBC0859,personal,16797244,0.1436,48,2024-02-26,462049,8095532,active,2028-02-29,2024-06-07
LON0039,NBC0715,personal,26687983,0.13,12,2022-03-16,2383698,13490670,active,2023-03-17,2022-06-07
LON0040,NBC0653,personal,41400230,0.1689,48,2023-09-06,1192251,37886352,active,2027-09-09,2025-02-04
LON0041,NBC0662,personal,48686733,0.1875,36,2022-04-17,1778514,35678069,written_off,2025-04-19,
LON0042,NBC0338,kredit_barang,23291934,0.1848,48,2023-07-05,690056,16958948,overdue,2027-07-08,2024-03-09
LON0043,NBC0430,personal,49005130,0.1706,24,2024-02-19,2424338,0,paid_off,2026-02-20,2024-07-29
LON0044,NBC0241,modal_usaha,107024606,0.1625,24,2023-10-02,5253051,0,paid_off,2025-10-03,2025-01-28
LON0045,NBC0551,personal,26795759,0.1576,6,2022-04-03,4673477,24731982,active,2022-10-03,2024-10-03
LON0046,NBC0945,modal_usaha,95016460,0.1792,24,2023-10-11,4739939,62040457,active,2025-10-12,2024-12-04
LON0047,NBC0696,modal_usaha,190574585,0.1907,36,2023-08-23,6992452,0,paid_off,2026-08-25,2024-05-03
LON0048,NBC0744,kredit_barang,26449811,0.1661,36,2022-06-21,937882,24958180,active,2025-06-23,2023-11-03
LON0049,NBC0023,personal,40635663,0.2239,48,2024-04-26,1288890,0,paid_off,2028-04-29,2025-01-15
LON0050,NBC0010,modal_usaha,82191690,0.1659,12,2023-11-12,7480290,62700062,active,2024-11-12,2025-02-21
LON0051,NBC0378,modal_usaha,143376055,0.1295,48,2023-08-05,3842863,56890759,active,2027-08-08,2024-08-10
LON0052,NBC0866,personal,34085892,0.2237,36,2022-09-28,1308289,24727559,overdue,2025-09-30,2024-03-04
LON0053,NBC0956,modal_usaha,133627920,0.2199,48,2023-02-28,4209366,124304571,active,2027-03-03,2024-02-14
LON0054,NBC0117,personal,9713695,0.1475,12,2023-01-08,875596,6397365,active,2024-01-09,2023-11-13
LON0055,NBC0368,kredit_barang,29719767,0.1672,24,2023-02-20,1465417,18861321,overdue,2025-02-21,2023-09-20
LON0056,NBC0610,personal,27042093,0.2344,48,2024-02-02,873271,0,paid_off,2028-02-05,2024-11-02
LON0057,NBC0929,modal_usaha,97537597,0.1424,48,2023-05-26,2677116,57043210,active,2027-05-29,2024-04-03
LON0058,NBC0906,personal,36595869,0.1427,36,2022-09-27,1255564,14687802,overdue,2025-09-29,2023-06-21
